# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance
#
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `n`       a positive odd integer
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `base2`   the binary representation of n
# `factors` the prime factors of n

dist,    n,       nl,       nr,       base2, factors
  44,  257,    (1 8),  (129 1),   100000001, {257}
  44,  259,  (129 1),   (65 2),   100000011, {7 37}
  44,  265,   (33 3),  (133 1),   100001001, {5 53}
  44,  515,  (257 1),  (129 2),  1000000011, {5 103}
  44,  517,  (129 2),  (259 1),  1000000101, {11 47}
  44,  521,   (65 3),  (261 1),  1000001001, {521}
  44,  523,  (261 1),  (131 2),  1000001011, {523}
  44,  531,  (265 1),  (133 2),  1000010011, {3 59}
  45,  171,   (85 1),   (43 2),    10101011, {3 19}
  45,  343,  (171 1),   (43 3),   101010111, {7}
  45,  345,   (43 3),  (173 1),   101011001, {3 5 23}
  45,  347,  (173 1),   (87 2),   101011011, {347}
  45,  353,   (11 5),  (177 1),   101100001, {353}
  45,  685,  (171 2),  (343 1),  1010101101, {5 137}
  45,  689,   (43 4),  (345 1),  1010110001, {13 53}
  45,  691,  (345 1),  (173 2),  1010110011, {691}
  45,  695,  (347 1),   (87 3),  1010110111, {5 139}
  45,  697,   (87 3),  (349 1),  1010111001, {17 41}
  45,  707,  (353 1),  (177 2),  1011000011, {7 101}
  46,  231,  (115 1),   (29 3),    11100111, {3 7 11}
  46,  235,  (117 1),   (59 2),    11101011, {5 47}
