# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance

desc,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29
oc(1537-1),9,3,0,3,3,3,3,3,3,3,3
oc(1537+1),1,769,1,4,6,10,2,4,9,10,15
oc(1551-1),1,775,1,0,5,5,8,10,15,16,21
oc(1551+1),4,97,1,2,6,9,6,12,2,5,10
oc(1563-1),1,781,1,1,4,0,1,16,2,22,27
oc(1563+1),2,391,1,1,6,6,1,0,11,0,14
oc(3007-1),1,1503,0,3,5,7,8,7,2,8,24
oc(3007+1),6,47,2,2,5,3,8,13,9,1,18
oc(3035-1),1,1517,2,2,5,10,9,4,16,22,9
oc(3035+1),2,759,0,4,3,0,5,11,18,0,5
oc(3039-1),1,1519,1,4,0,1,11,6,18,1,11
oc(3039+1),5,95,2,0,4,7,4,10,0,3,8
oc(3041-1),5,95,2,0,4,7,4,10,0,3,8
oc(3041+1),1,1521,0,1,2,3,0,8,1,3,13
oc(3051-1),1,1525,1,0,6,7,4,12,5,7,17
oc(3051+1),2,763,1,3,0,4,9,15,3,4,9
oc(3053-1),2,763,1,3,0,4,9,15,3,4,9
oc(3053+1),1,1527,0,2,1,9,6,14,7,9,19
oc(3065-1),3,383,2,3,5,9,6,9,3,15,6
oc(3065+1),1,1533,0,3,0,4,12,3,13,15,25
oc(3071-1),1,1535,2,0,2,6,1,5,15,17,27
oc(3071+1),10,3,0,3,3,3,3,3,3,3,3
oc(3075-1),1,1537,1,2,4,8,3,7,17,19,0
oc(3075+1),2,769,1,4,6,10,2,4,9,10,15
oc(3079-1),1,1539,0,4,6,10,5,9,0,21,2
oc(3079+1),3,385,1,0,0,0,8,11,5,17,8
oc(3081-1),3,385,1,0,0,0,8,11,5,17,8
oc(3081+1),1,1541,2,1,1,1,7,11,2,0,4
oc(3101-1),2,775,1,0,5,5,8,10,15,16,21
oc(3101+1),1,1551,0,1,4,0,4,4,12,10,14
oc(3105-1),5,97,1,2,6,9,6,12,2,5,10
oc(3105+1),1,1553,2,3,6,2,6,6,14,12,16
oc(3127-1),1,1563,0,3,2,1,3,16,5,22,26
oc(3127+1),3,391,1,1,6,6,1,0,11,0,14
oc(3161-1),3,395,2,0,3,10,5,4,15,4,18
oc(3161+1),1,1581,0,1,6,8,8,0,4,17,15

# dist 54:
oc(1145-1),3,143,2,3,3,0,0,7,10,5,27
oc(1145+1),1,573,0,3,6,1,1,12,3,21,22
oc(1153-1),7,9,0,4,2,9,9,9,9,9,9
oc(1153+1),1,577,1,2,3,5,5,16,7,2,26
oc(1163-1),1,581,2,1,0,9,9,3,11,6,1
oc(1163+1),2,291,0,1,4,5,5,2,6,15,1
oc(1185-1),5,37,1,2,2,4,11,3,18,14,8
oc(1185+1),1,593,2,3,5,10,8,15,4,18,13
oc(2279-1),1,1139,2,4,5,6,8,0,18,12,8
oc(2279+1),3,285,0,0,5,10,12,13,0,9,24
oc(2281-1),3,285,0,0,5,10,12,13,0,9,24
oc(2281+1),1,1141,1,1,0,8,10,2,1,14,10
oc(2291-1),1,1145,2,0,4,1,1,6,5,18,14
oc(2291+1),2,573,0,3,6,1,1,12,3,21,22
oc(2299-1),1,1149,0,4,1,5,5,10,9,22,18
oc(2299+1),2,575,2,0,1,3,3,14,5,0,24
oc(2307-1),1,1153,1,3,5,9,9,14,13,3,22
oc(2307+1),2,577,1,2,3,5,5,16,7,2,26
oc(2311-1),1,1155,0,0,0,0,11,16,15,5,24
oc(2311+1),3,289,1,4,2,3,3,0,4,13,28
oc(2327-1),1,1163,2,3,1,8,6,7,4,13,3
oc(2327+1),3,291,0,1,4,5,5,2,6,15,1
oc(2329-1),3,291,0,1,4,5,5,2,6,15,1
oc(2329+1),1,1165,1,0,3,10,8,9,6,15,5
oc(2343-1),1,1171,1,1,2,5,1,15,12,21,11
