# Odd core "extended family" distance groups

The numbers here are grouped by their odd-to-odd Collatz stopping distance.
Every n is represented by a group of 7 lines that forms a small tree.
The "children" of n are defined as the 2-adic odd cores of the even neighbors, n-1 and n+1.
They have their own children in turn, and for every n this small hierarchy is shown.
When reading the tables, n is the center row in each group of seven lines.

oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71

# Distance 65:

13,3,2,111,1101,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13 # oc(oc(411+1)+1)

103,1,31,10211,1100111,1,3,5,4,12,1,8,11,16,10,29,21,17,9,50,44,42,36,32 # oc(oc(415-1)-1)
207,1,31,21200,11001111,0,2,4,9,12,3,17,0,4,21,22,2,35,19,48,30,24,6,65 # oc(415-1)
13,4,2,111,1101,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13 # oc(oc(415-1)+1)
415,0,48,120101,110011111,1,0,2,8,12,7,16,1,9,12,8,5,28,39,44,2,49,13,60 # 415 -> 623
3,2,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(oc(415+1)-1)
13,5,2,111,1101,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13 # oc(415+1)
7,1,5,21,111,1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7 # oc(oc(415+1)+1)

3,2,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(oc(417-1)-1)
13,5,2,111,1101,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13 # oc(417-1)
7,1,5,21,111,1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7 # oc(oc(417-1)+1)
417,0,48,120110,110100001,0,2,4,10,1,9,18,3,11,14,10,7,30,41,46,4,51,15,62 # 417 -> 313
13,4,2,111,1101,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13 # oc(oc(417+1)-1)
209,1,12,21202,11010001,2,4,6,0,1,5,0,2,6,23,24,4,37,21,50,32,26,8,67 # oc(417+1)
105,1,12,10220,1101001,0,0,0,6,1,3,10,13,18,12,31,23,19,11,52,46,44,38,34 # oc(oc(417+1)+1)

101,2,7,10202,1100101,2,1,3,2,10,16,6,9,14,8,27,19,15,7,48,42,40,34,30 # oc(oc(811-1)-1)
405,1,7,120000,110010101,0,0,6,9,2,14,6,14,28,2,35,36,18,29,34,51,39,3,50 # oc(811-1)
203,1,12,21112,11001011,2,3,0,5,8,16,13,19,0,17,18,39,31,15,44,26,20,2,61 # oc(oc(811-1)+1)
811,0,48,1010001,1100101011,1,1,6,8,5,12,13,6,28,5,34,32,37,12,16,44,18,7,30 # 811 -> 1217
101,1,7,10202,1100101,2,1,3,2,10,16,6,9,14,8,27,19,15,7,48,42,40,34,30 # oc(oc(811+1)-1)
203,2,12,21112,11001011,2,3,0,5,8,16,13,19,0,17,18,39,31,15,44,26,20,2,61 # oc(811+1)
51,2,7,1220,110011,0,1,2,7,12,0,13,5,22,20,14,10,8,4,51,51,51,51,51 # oc(oc(811+1)+1)

203,1,12,21112,11001011,2,3,0,5,8,16,13,19,0,17,18,39,31,15,44,26,20,2,61 # oc(oc(815-1)-1)
407,1,12,120002,110010111,2,2,1,0,4,16,8,16,1,4,0,38,20,31,36,53,41,5,52 # oc(815-1)
