n,k,oc,m3,m5,m7,m11,m13,m17
686,1,343,1,3,0,2,5,3
687,0,687,0,2,1,5,11,7
688,4,43,1,3,1,10,4,9
689,0,689,2,4,3,7,0,9
690,1,345,0,0,2,4,7,5
691,0,691,1,1,5,9,2,11
692,2,173,2,3,5,8,4,3
693,0,693,0,3,0,0,4,13
694,1,347,2,2,4,6,9,7
695,0,695,2,0,2,2,6,15
696,3,87,0,2,3,10,9,2
697,0,697,1,2,4,4,8,0
698,1,349,1,4,6,8,11,9
699,0,699,0,4,6,6,10,2
700,2,175,1,0,0,10,6,5
701,0,701,2,1,1,8,12,4
702,1,351,0,1,1,10,0,11
703,0,703,1,3,3,10,1,6
704,6,11,2,1,4,0,11,11
705,0,705,0,0,5,1,3,8
706,1,353,2,3,3,1,2,13
707,0,707,2,2,0,3,5,10
708,2,177,0,2,2,1,8,7
709,0,709,1,4,2,5,7,12
710,1,355,1,0,5,3,4,15
711,0,711,0,1,4,7,9,14
712,3,89,2,4,5,1,11,4
713,0,713,2,3,6,9,11,16
714,1,357,0,2,0,5,6,0
715,0,715,1,0,1,0,0,1
716,2,179,2,4,4,3,10,9
717,0,717,0,2,3,2,2,3
718,1,359,2,4,2,7,8,2
719,0,719,2,4,5,4,4,5
720,4,45,0,0,3,1,6,11
721,0,721,1,1,0,6,6,7
722,1,361,1,1,4,9,10,4
723,0,723,0,3,2,8,8,9
724,2,181,1,1,6,5,12,11
725,0,725,2,0,4,10,10,11
726,1,363,0,3,6,0,12,6
727,0,727,1,2,6,1,12,13
728,3,91,1,1,0,3,0,6
729,0,729,0,4,1,3,1,15
730,1,365,2,0,1,2,1,8
731,0,731,2,1,3,5,3,0
732,2,183,0,3,1,7,1,13
733,0,733,1,3,5,7,5,2
734,1,367,1,2,3,4,3,10
735,0,735,0,0,0,9,7,4
736,5,23,2,3,2,1,10,6
737,0,737,2,2,2,0,9,6
738,1,369,0,4,5,6,5,12
739,0,739,1,4,4,2,11,8
740,2,185,2,0,3,9,3,15
741,0,741,0,1,6,4,0,10
742,1,371,2,1,0,8,7,14
743,0,743,2,3,1,6,2,12
744,3,93,0,3,2,5,2,8
745,0,745,1,0,3,8,4,14
746,1,373,1,3,2,10,9,16
747,0,747,0,2,5,10,6,16
748,2,187,1,2,5,0,5,0
749,0,749,2,4,0,1,8,1
750,1,375,0,0,4,1,11,1
751,0,751,1,1,2,3,10,3
752,4,47,2,2,5,3,8,13
753,0,753,0,3,4,5,12,5
754,1,377,2,2,6,3,0,3
755,0,755,2,0,6,7,1,7
756,2,189,0,4,0,2,7,2
757,0,757,1,2,1,9,3,9
758,1,379,1,4,1,5,2,5
759,0,759,0,4,3,0,5,11
760,3,95,2,0,4,7,4,10
761,0,761,2,1,5,2,7,13
762,1,381,0,1,3,7,4,7
763,0,763,1,3,0,4,9,15
764,2,191,2,1,2,4,9,4
765,0,765,0,0,2,6,11,0
766,1,383,2,3,5,9,6,9
767,0,767,2,2,4,8,0,2
768,8,3,0,3,3,3,3,3
769,0,769,1,4,6,10,2,4
