n,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73
244,2,61,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61,61
245,0,245,2,0,0,3,11,7,17,15,13,28,23,40,30,10,33,9,1,44,32,26
246,1,123,0,3,4,2,6,4,9,8,7,30,12,0,37,29,17,5,1,56,52,50
247,0,247,1,2,2,5,0,9,0,17,15,30,25,1,32,12,35,11,3,46,34,28
248,3,31,1,1,3,9,5,14,12,8,2,0,31,31,31,31,31,31,31,31,31,31
249,0,249,0,4,4,7,2,11,2,19,17,1,27,3,34,14,37,13,5,48,36,30
250,1,125,2,0,6,4,8,6,11,10,9,1,14,2,39,31,19,7,3,58,54,52
251,0,251,2,1,6,9,4,13,4,21,19,3,29,5,36,16,39,15,7,50,38,32
252,2,63,0,3,0,8,11,12,6,17,5,1,26,22,20,16,10,4,2,63,63,63
253,0,253,1,3,1,0,6,15,6,0,21,5,31,7,38,18,41,17,9,52,40,34
254,1,127,1,2,1,6,10,8,13,12,11,3,16,4,41,33,21,9,5,60,56,54
255,0,255,0,0,3,2,8,0,8,2,23,7,33,9,40,20,43,19,11,54,42,36
256,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
257,0,257,2,2,5,4,10,2,10,4,25,9,35,11,42,22,45,21,13,56,44,38
258,1,129,0,4,3,8,12,10,15,14,13,5,18,6,0,35,23,11,7,62,58,56
259,0,259,1,4,0,6,12,4,12,6,27,11,0,13,1,24,47,23,15,58,46,40
260,2,65,2,0,2,10,0,14,8,19,7,3,28,24,22,18,12,6,4,65,65,65
261,0,261,0,1,2,8,1,6,14,8,0,13,2,15,3,26,49,25,17,60,48,42
262,1,131,2,1,5,10,1,12,17,16,15,7,20,8,2,37,25,13,9,64,60,58
263,0,263,2,3,4,10,3,8,16,10,2,15,4,17,5,28,51,27,19,62,50,44
264,3,33,0,3,5,0,7,16,14,10,4,2,33,33,33,33,33,33,33,33,33,33
265,0,265,1,0,6,1,5,10,18,12,4,17,6,19,7,30,0,29,21,64,52,46
266,1,133,1,3,0,1,3,14,0,18,17,9,22,10,4,39,27,15,11,66,62,60
267,0,267,0,2,1,3,7,12,1,14,6,19,8,21,9,32,2,31,23,66,54,48
268,2,67,1,2,4,1,2,16,10,21,9,5,30,26,24,20,14,8,6,0,67,67
269,0,269,2,4,3,5,9,14,3,16,8,21,10,23,11,34,4,33,25,1,56,50
270,1,135,0,0,2,3,5,16,2,20,19,11,24,12,6,41,29,17,13,1,64,62
271,0,271,1,1,5,7,11,16,5,18,10,23,12,25,13,36,6,35,27,3,58,52
272,4,17,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17
273,0,273,0,3,0,9,0,1,7,20,12,25,14,27,15,38,8,37,29,5,60,54
274,1,137,2,2,4,5,7,1,4,22,21,13,26,14,8,43,31,19,15,3,66,64
275,0,275,2,0,2,0,2,3,9,22,14,27,16,29,17,40,10,39,31,7,62,56
276,2,69,0,4,6,3,4,1,12,0,11,7,32,28,26,22,16,10,8,2,69,69
277,0,277,1,2,4,2,4,5,11,1,16,29,18,31,19,42,12,41,33,9,64,58
278,1,139,1,4,6,7,9,3,6,1,23,15,28,16,10,45,33,21,17,5,68,66
279,0,279,0,4,6,4,6,7,13,3,18,0,20,33,21,44,14,43,35,11,66,60
280,3,35,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35,35
281,0,281,2,1,1,6,8,9,15,5,20,2,22,35,23,46,16,45,37,13,68,62
282,1,141,0,1,1,9,11,5,8,3,25,17,30,18,12,0,35,23,19,7,70,68
283,0,283,1,3,3,8,10,11,17,7,22,4,24,37,25,1,18,47,39,15,70,64
284,2,71,2,1,1,5,6,3,14,2,13,9,34,30,28,24,18,12,10,4,0,71
285,0,285,0,0,5,10,12,13,0,9,24,6,26,39,27,3,20,49,41,17,1,66
286,1,143,2,3,3,0,0,7,10,5,27,19,32,20,14,2,37,25,21,9,1,70
287,0,287,2,2,0,1,1,15,2,11,26,8,28,0,29,5,22,51,43,19,3,68
288,5,9,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
289,0,289,1,4,2,3,3,0,4,13,28,10,30,2,31,7,24,53,45,21,5,70
290,1,145,1,0,5,2,2,9,12,7,0,21,34,22,16,4,39,27,23,11,3,72
291,0,291,0,1,4,5,5,2,6,15,1,12,32,4,33,9,26,55,47,23,7,72
292,2,73,1,3,3,7,8,5,16,4,15,11,36,32,30,26,20,14,12,6,2,0
293,0,293,2,3,6,7,7,4,8,17,3,14,34,6,35,11,28,57,49,25,9,1
294,1,147,0,2,0,4,4,11,14,9,2,23,36,24,18,6,41,29,25,13,5,1
295,0,295,1,0,1,9,9,6,10,19,5,16,36,8,37,13,30,0,51,27,11,3
