# `factorzig` the prime factors of n, indented by distance from the nearest prime
# `psym`      the symmetric primes at equal offsets around n

factorzig,                     psym
   2²⋅29⋅41,                   [27 33]
  67⋅71,                       [36]
 2⋅3⋅13⋅61,                    [25 29 35 55]
4759,                          [30]
 2³⋅5⋅7⋅17,                    [27 39 57]
  3²⋅23²,                      [28 32 38 40 70]
   2⋅2381,                     [39 99]
    11⋅433,                    [30]
     2²⋅3⋅397,                 [35]
      5⋅953,                   [36]
       2⋅2383,                 [33]
        3⋅7⋅227,               [16 34 46 64 94]
         2⁵⋅149,               [45]
          19⋅251,              [18 48]
           2⋅3²⋅5⋅53,          [19 47 91]
            13⋅367,            [12 42]
           2²⋅1193,            [21 99]
          3⋅37⋅43,             [14 40 44]
         2⋅7⋅11⋅31,            [15]
        5²⋅191,                [24 42 96]
       2³⋅3⋅199,               [17 25 55 85]
      17⋅281,                  [54]
     2⋅2389,                   [99]
    3⁴⋅59,                     [20]
   2²⋅5⋅239,                   [21 51]
  7⋅683,                       [90]
 2⋅3⋅797,                      [31 49 79]
4783,                          []
 2⁴⋅13⋅23,                     [33 93]
  3⋅5⋅11⋅29,                   [2]
 2⋅2393,                       [3 27]
4787,                          [84]
 2²⋅3²⋅7⋅19,                   [1 5 29]
4789,                          []
 2⋅5⋅479,                      [3 87 99]
  3⋅1597,                      [2 8 40 70]
 2³⋅599,                       [9 69]
4793,                          [6]
 2⋅3⋅17⋅47,                    [5 7]
  5⋅7⋅137,                     [6 36 66]
   2²⋅11⋅109,                  [3 75 93]
  3²⋅13⋅41,                    [4 64 74]
 2⋅2399,                       [15]
4799,                          [78]
 2⁶⋅3⋅5²,                      [1 13 17 71 77]
4801,                          [12]
 2⋅7⁴,                         [15 69]
  3⋅1601,                      [10 14 74 100]
   2²⋅1201,                    []
    5⋅31²,                     [12 72 84]
     2⋅3³⋅89,                  [7 55 83]
      11⋅19⋅23,                [6 24]
     2³⋅601,                   [9]
    3⋅7⋅229,                   [8 22 80]
   2⋅5⋅13⋅37,                  [21 51]
  17⋅283,                      [60 78]
 2²⋅3⋅401,                     [19 91]
4813,                          [90]
 2⋅29⋅83,                      [63]
  3²⋅5⋅107,                    [2 16 56 94]
 2⁴⋅7⋅43,                      [15 87 93]
4817,                          []
 2⋅3⋅11⋅73,                    [59 85]
  61⋅79,                       [90]
   2²⋅5⋅241,                   [69 99]
    3⋅1607,                    [88 98]
     2⋅2411,                   [9 39]
      7⋅13⋅53,                 []
       2³⋅3²⋅67,               [7 37 65 95]
      5²⋅193,                  [36]
     2⋅19⋅127,                 [93]
    3⋅1609,                    [34 44 76]
   2²⋅17⋅71,                   []
  11⋅439,                      [42]
 2⋅3⋅5⋅7⋅23,                   [31 41 47 79]
4831,                          [30 72]
 2⁵⋅151,                       [39 45 99]
  3³⋅179,                      [44 100]
   2⋅2417,                     [75]
    5⋅967,                     [36 42 84]
     2²⋅3⋅13⋅31,               [35 53]
      7⋅691,                   [24]
       2⋅41⋅59,                [39 51]
        3⋅1613,                [22 38 50 80]
         2³⋅5⋅11²,             []
          47⋅103,              [48 90]
           2⋅3²⋅269,           [29 91]
            29⋅167,            [60]
             2²⋅7⋅173,         [27 45 93]
              3⋅5⋅17⋅19,       [32 44 58 86]
               2⋅2423,         [15 57 63 87]
              37⋅131,          [30 96]
             2⁴⋅3⋅101,         [55 61 89]
            13⋅373,            [60]
           2⋅5²⋅97,            []
          3²⋅7²⋅11,            [20 38 52 58 68 92 100]
         2²⋅1213,              [51]
        23⋅211,                [36 66]
       2⋅3⋅809,                [23 55 65]
      5⋅971,                   [54 96]
     2³⋅607,                   [63]
    3⋅1619,                    [74]
   2⋅7⋅347,                    [45 75 99]
  43⋅113,                      [60 72]
 2²⋅3⁵⋅5,                      [29 43 59 71 73 77]
4861,                          [48 72]
 2⋅11⋅13⋅17,                   [69 75]
  3⋅1621,                      [46 70 74 80]
   2⁸⋅19,                      []
    5⋅7⋅139,                   [66 72 78]
     2⋅3⋅811,                  [5 53 65 67 77]
    31⋅157,                    [36 66 84]
   2²⋅1217,                    [51 69 75]
  3²⋅541,                      [8 68 82]
 2⋅5⋅487,                      [39 81 87]
4871,                          [72]
 2³⋅3⋅7⋅29,                    [59 71 79 85]
  11⋅443,                      [60 84]
   2⋅2437,                     [3 57]
  3⋅5³⋅13,                     [14 44 58 62 76 82 92]
 2²⋅23⋅53,                     [75 93]
4877,                          [60 90]
 2⋅3²⋅271,                     [65 79 89 91 95]
  7⋅17⋅41,                     [78 90]
   2⁴⋅5⋅61,                    [9 63 87 93]
    3⋅1627,                    [50 88 92]
     2⋅2441,                   [21 51 69]
      19⋅257,                  [6 84 90]
     2²⋅3⋅11⋅37,               [53 67 83 85]
    5⋅977,                     [24 72 84]
   2⋅7⋅349,                    [87]
  3³⋅181,                      [16 56 70 86 100]
 2³⋅13⋅47,                     [99]
4889,                          []
 2⋅3⋅5⋅163,                    [13 19 29 77 97]
  67⋅73,                       [60 78]
   2²⋅1223,                    [75]
    3⋅7⋅233,                   [16 76 80 94 100]
     2⋅2447,                   [63 93]
      5⋅11⋅89,                 [24 78]
       2⁵⋅3²⋅17,               [7 35 97]
      59⋅83,                   [36 96]
     2⋅31⋅79,                  [21]
    3⋅23⋅71,                   [10 38 68 100]
   2²⋅5²⋅7²,                   [69 87 99]
  13²⋅29,                      [30]
 2⋅3⋅19⋅43,                    [31 41 71 85]
4903,                          [90]
 2³⋅613,                       [15 27 33]
  3²⋅5⋅109,                    [28 88]
   2⋅11⋅223,                   [3 45 93]
  7⋅701,                       [30 36]
 2²⋅3⋅409,                     [91 95]
4909,                          [48 78]
 2⋅5⋅491,                      [21 33 93]
  3⋅1637,                      [8 22 40 98]
   2⁴⋅307,                     [81 99]
    17³,                       [24 96]
     2⋅3³⋅7⋅13,                [5 37 43 53 97]
    5⋅983,                     [54 84]
   2²⋅1229,                    [27]
  3⋅11⋅149,                    [14 40 56 86]
 2⋅2459,                       [15]
4919,                          [48]
 2³⋅3⋅5⋅41,                    [11 17 31 49 89]
  7⋅19⋅37,                     [12 90]
   2⋅23⋅107,                   [45 51]
    3²⋅547,                    [14 20 34 46]
     2²⋅1231,                  [63]
      5²⋅197,                  [6 48]
     2⋅3⋅821,                  [7 17 95]
    13⋅379,                    [24 66 96]
   2⁶⋅7⋅11,                    [9 39]
  3⋅31⋅53,                     [40 58]
 2⋅5⋅17⋅29,                    [21 27 69]
4931,                          [12 42]
 2²⋅3²⋅137,                    [1 55 61 71]
4933,                          [24]
 2⋅2467,                       [3]
  3⋅5⋅7⋅47,                    [2 16 32 58 64 74]
 2³⋅617,                       [33 75]
4937,                          [6 66]
 2⋅3⋅823,                      [5 19 29 35 49 61]
  11⋅449,                      [30]
   2²⋅5⋅13⋅19,                 [3 63 69]
  3⁴⋅61,                       [10 32 52 70 80]
 2⋅7⋅353,                      [9 81]
4943,                          [24 66]
 2⁴⋅3⋅103,                     [7 13 25 55 67]
  5⋅23⋅43,                     [12 42]
   2⋅2473,                     [27 57 75]
    3⋅17⋅97,                   [4 10 76]
   2²⋅1237,                    [39 45]
  7²⋅101,                      [18 60 72]
 2⋅3²⋅5²⋅11,                   [7 17 19 61 73 89]
4951,                          [18 42 48]
 2³⋅619,                       [15 21]
  3⋅13⋅127,                    [16 20 34 50]
   2⋅2477,                     [3 45]
  5⋅991,                       [12 18 66 84]
 2²⋅3⋅7⋅59,                    [13 37 47 53 67 95]
4957,                          [54]
 2⋅37⋅67,                      [15 81]
  3²⋅19⋅29,                    [8 28 40 50]
   2⁵⋅5⋅31,                    [9 27 51 99]
    11²⋅41,                    [42 90]
     2⋅3⋅827,                  [5 11 25 31 59]
    7⋅709,                     [6 30 60]
   2²⋅17⋅73,                   [45 75 87]
  3⋅5⋅331,                     [8 22 28 34 46 56 94]
 2⋅13⋅191,                     [33 57]
4967,                          [36]
 2³⋅3³⋅23,                     [1 25 31 35 91]
4969,                          [18]
 2⋅5⋅7⋅71,                     [3 33 39 51 81]
  3⋅1657,                      [2 28 38 40 52 68]
 2²⋅11⋅113,                    [15 21 39]
4973,                          [30 36]
 2⋅3⋅829,                      [37 65 85]
  5²⋅199,                      [18 24]
   2⁴⋅311,                     [33 45]
    3²⋅7⋅79,                   [10 26 34 44 46 74 100]
     2⋅19⋅131,                 [9 21 45]
      13⋅383,                  [42 60]
       2²⋅3⋅5⋅83,              [7 13 23 29 43 71]
      17⋅293,                  [12 30 78]
     2⋅47⋅53,                  [39]
    3⋅11⋅151,                  [10 16 26 40 94]
   2³⋅7⋅89,                    [15 27 75]
  5⋅997,                       [18 54 66 96]
 2⋅3²⋅277,                     [13 17 35 53]
4987,                          [36]
 2²⋅29⋅43,                     [15 21 51 99]
  3⋅1663,                      [20 22 32 70]
   2⋅5⋅499,                    [3 21 33 87]
  7⋅23⋅31,                     [18 48 60]
 2⁷⋅3⋅13,                      [19 59 89]
4993,                          [6 84]
 2⋅11⋅227,                     [27 57]
  3³⋅5⋅37,                     [8 26 28 44 64 86 92]
   2²⋅1249,                    [3 27 63]
  19⋅263,                      [24 54]
 2⋅3⋅7²⋅17,                    [5 11 25 41 61 79 89]
4999,                          [12]
 2³⋅5⁴,                        [81]
  3⋅1667,                      [2 8 50 58 98]
 2⋅41⋅61,                      [9 99]
5003,                          [36 84]
 2²⋅3²⋅139,                    [5 17 35 47 73 95]
  5⋅7⋅11⋅13,                   [6 18 54 72 96]
   2⋅2503,                     [3 33 75]
  3⋅1669,                      [4 14 70 74]
 2⁴⋅313,                       [15 51 99]
5009,                          [42 72 78 90]
 2⋅3⋅5⋅167,                    [1 11 41 67 77 91]
5011,                          [12]
 2²⋅7⋅179,                     [9 39 69 75]
  3²⋅557,                      [10 26 46 94]
   2⋅23⋅109,                   [45 63]
    5⋅17⋅59,                   [6 72 84]
     2³⋅3⋅11⋅19,               [5 7 23 43 65 83 85 97]
    29⋅173,                    [6 60 84]
   2⋅13⋅193,                   [81]
  3⋅7⋅239,                     [20 32 62 68 82 88 100]
 2²⋅5⋅251,                     [87]
5021,                          [18 78]
 2⋅3⁴⋅31,                      [1 29 55 65 79 85 91]
5023,                          [36 54 90]
 2⁵⋅157,                       [15 57]
  3⋅5²⋅67,                     [14 26 52 56 74 82 88 94]
   2⋅7⋅359,                    [33 75 93]
    11⋅457,                    [24 54 60]
     2²⋅3⋅419,                 [59 71 85 91]
