# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, m43, m47, m53, m59, m61, m67, m71, m73
   88, 2³ 11,         ,               1,  3,  4,  0,   10,  3,   12,  19,  1,   26,  14,  6,   2,   41,  35,  29,  27,  21,  17,  15
   89, 89,            prime,          2,  4,  5,  1,   11,  4,   13,  20,  2,   27,  15,  7,   3,   42,  36,  30,  28,  22,  18,  16
   90, 2 3² 5,        ,               0,  0,  6,  2,   12,  5,   14,  21,  3,   28,  16,  8,   4,   43,  37,  31,  29,  23,  19,  17
   91, 7 13,          radical,        1,  1,  0,  3,   0,   6,   15,  22,  4,   29,  17,  9,   5,   44,  38,  32,  30,  24,  20,  18
   92, 2² 23,         ,               2,  2,  1,  4,   1,   7,   16,  0,   5,   30,  18,  10,  6,   45,  39,  33,  31,  25,  21,  19
   93, 3 31,          radical,        0,  3,  2,  5,   2,   8,   17,  1,   6,   0,   19,  11,  7,   46,  40,  34,  32,  26,  22,  20
   94, 2 47,          radical,        1,  4,  3,  6,   3,   9,   18,  2,   7,   1,   20,  12,  8,   0,   41,  35,  33,  27,  23,  21
   95, 5 19,          radical,        2,  0,  4,  7,   4,   10,  0,   3,   8,   2,   21,  13,  9,   1,   42,  36,  34,  28,  24,  22
   96, 2⁵ 3,          ,               0,  1,  5,  8,   5,   11,  1,   4,   9,   3,   22,  14,  10,  2,   43,  37,  35,  29,  25,  23
   97, 97,            prime,          1,  2,  6,  9,   6,   12,  2,   5,   10,  4,   23,  15,  11,  3,   44,  38,  36,  30,  26,  24
   98, 2 7²,          ,               2,  3,  0,  10,  7,   13,  3,   6,   11,  5,   24,  16,  12,  4,   45,  39,  37,  31,  27,  25
   99, 3² 11,         ,               0,  4,  1,  0,   8,   14,  4,   7,   12,  6,   25,  17,  13,  5,   46,  40,  38,  32,  28,  26
  100, 2² 5²,         radical power,  1,  0,  2,  1,   9,   15,  5,   8,   13,  7,   26,  18,  14,  6,   47,  41,  39,  33,  29,  27
  101, 101,           prime,          2,  1,  3,  2,   10,  16,  6,   9,   14,  8,   27,  19,  15,  7,   48,  42,  40,  34,  30,  28
  102, 2 3 17,        radical,        0,  2,  4,  3,   11,  0,   7,   10,  15,  9,   28,  20,  16,  8,   49,  43,  41,  35,  31,  29
  103, 103,           prime,          1,  3,  5,  4,   12,  1,   8,   11,  16,  10,  29,  21,  17,  9,   50,  44,  42,  36,  32,  30
  104, 2³ 13,         ,               2,  4,  6,  5,   0,   2,   9,   12,  17,  11,  30,  22,  18,  10,  51,  45,  43,  37,  33,  31
  105, 3 5 7,         radical,        0,  0,  0,  6,   1,   3,   10,  13,  18,  12,  31,  23,  19,  11,  52,  46,  44,  38,  34,  32
  106, 2 53,          radical,        1,  1,  1,  7,   2,   4,   11,  14,  19,  13,  32,  24,  20,  12,  0,   47,  45,  39,  35,  33
  107, 107,           prime,          2,  2,  2,  8,   3,   5,   12,  15,  20,  14,  33,  25,  21,  13,  1,   48,  46,  40,  36,  34
  108, 2² 3³,         ,               0,  3,  3,  9,   4,   6,   13,  16,  21,  15,  34,  26,  22,  14,  2,   49,  47,  41,  37,  35
  109, 109,           prime,          1,  4,  4,  10,  5,   7,   14,  17,  22,  16,  35,  27,  23,  15,  3,   50,  48,  42,  38,  36
  110, 2 5 11,        radical,        2,  0,  5,  0,   6,   8,   15,  18,  23,  17,  36,  28,  24,  16,  4,   51,  49,  43,  39,  37
  111, 3 37,          radical,        0,  1,  6,  1,   7,   9,   16,  19,  24,  18,  0,   29,  25,  17,  5,   52,  50,  44,  40,  38
  112, 2⁴ 7,          ,               1,  2,  0,  2,   8,   10,  17,  20,  25,  19,  1,   30,  26,  18,  6,   53,  51,  45,  41,  39
  113, 113,           prime,          2,  3,  1,  3,   9,   11,  18,  21,  26,  20,  2,   31,  27,  19,  7,   54,  52,  46,  42,  40
  114, 2 3 19,        radical,        0,  4,  2,  4,   10,  12,  0,   22,  27,  21,  3,   32,  28,  20,  8,   55,  53,  47,  43,  41
  115, 5 23,          radical,        1,  0,  3,  5,   11,  13,  1,   0,   28,  22,  4,   33,  29,  21,  9,   56,  54,  48,  44,  42
  116, 2² 29,         ,               2,  1,  4,  6,   12,  14,  2,   1,   0,   23,  5,   34,  30,  22,  10,  57,  55,  49,  45,  43
