# `n`         a positive integer
# `factors`   the prime factorization of n
# `psym`      the symmetric primes at equal offsets around n
# `primeness` notes if n is a prime, prime power, prime twin, radical, radical power, primorial, or primorial power

n,      factors,       psym,                        primeness
1796,   2² 449,        [75],                        
1797,   3 599,         [14 50 64 74 76],            radical
1798,   2 29 31,       [75],                        radical
1799,   7 257,         [12 78 90],                  radical
1800,   2³ 3² 5²,      [11 23 47 67 77 79],         
1801,   1801,          [60 78],                     prime
1802,   2 17 53,       [69],                        radical
1803,   3 601,         [20 44 70],                  radical
1804,   2² 11 41,      [27 57 63],                  
1805,   5 19²,         [18 72 84 96],               
1806,   2 3 7 43,      [5 17 65 73 83],             radical
1807,   13 139,        [24 54 60 66],               radical
1808,   2⁴ 113,        [99],                        
1809,   3³ 67,         [22 62 68],                  
1810,   2 5 181,       [21 51 57 63 69],            radical
1811,   1811,          [78 90],                     prime
1812,   2² 3 151,      [11 35 59 65 89],            
1813,   7² 37,         [54 60 66],                  
1814,   2 907,         [93],                        radical
1815,   3 5 11²,       [32 56 62 74 92],            
1816,   2³ 227,        [15 57 63],                  
1817,   23 79,         [6 30 84 96],                radical
1818,   2 3² 101,      [29 59 71 95],               
1819,   17 107,        [42 60],                     radical
1820,   2² 5 7 13,     [87],                        
1821,   3 607,         [10 68 80],                  radical
1822,   2 911,         [39 45],                     radical
1823,   1823,          [90],                        prime
1824,   2⁵ 3 19,       [23 37 47 65 77 83],         
1825,   5² 73,         [36 42 48],                  
1826,   2 11 83,       [],                          radical
1827,   3² 7 29,       [4 40 44 50 74 80 86],       
1828,   2² 457,        [39 45 51],                  
1829,   31 59,         [18 42],                     radical
1830,   2 3 5 61,      [41 43 47 71 77 83],         radical
1831,   1831,          [30 42 48],                  prime
1832,   2³ 229,        [45 99],                     
1833,   3 13 47,       [44 46 56 74 80 100],        radical
1834,   2 7 131,       [33 45],                     radical
1835,   5 367,         [12],                        radical
1836,   2² 3³ 17,      [25 35 53 77 95],            
1837,   11 167,        [36 96],                     radical
1838,   2 919,         [51],                        radical
1839,   3 613,         [8 28 38 50 62 92],          radical
1840,   2⁴ 5 23,       [39 93],                     
1841,   7 263,         [30],                        radical
1842,   2 3 307,       [19 31 59 65 89],            radical
1843,   19 97,         [90],                        radical
1844,   2² 461,        [33 57],                     
1845,   3² 5 41,       [22 34 44 56 62 68 86],      
1846,   2 13 71,       [15 87],                     radical
1847,   1847,          [24 60],                     prime
1848,   2³ 3 7 11,     [25 59 65],                  
1849,   43²,           [18],                        prime power
1850,   2 5² 37,       [27 39 63],                  
1851,   3 617,         [20 28 50 62 98],            radical
1852,   2² 463,        [21 99],                     
1853,   17 109,        [],                          radical
1854,   2 3² 103,      [7 23 53 77 95],             
1855,   5 7 53,        [24 78 96],                  radical
1856,   2⁶ 29,         [33 45],                     
1857,   3 619,         [10 56 74],                  radical
1858,   2 929,         [75],                        radical
1859,   11 13²,        [12 48 72],                  
1860,   2² 3 5 31,     [13 29 71 73],               
1861,   1861,          [72],                        prime
1862,   2 7² 19,       [15 39 51],                  
1863,   3⁴ 23,         [16 86],                     
1864,   2³ 233,        [3 87],                      
1865,   5 373,         [42],                        radical
1866,   2 3 311,       [5 35 65 83],                radical
1867,   1867,          [6 66 84],                   prime
1868,   2² 467,        [21 45 81],                  
1869,   3 7 89,        [2 8 38 80 82],              radical
1870,   2 5 11 17,     [3 9 81],                    radical
1871,   1871,          [60],                        prime twin
1872,   2⁴ 3² 13,      [1 5 41 61],                 
1873,   1873,          [6],                         prime twin
1874,   2 937,         [3 27],                      radical
1875,   3 5⁴,          [2 4 14 74 98],              
1876,   2² 7 67,       [3 75],                      
1877,   1877,          [30 54],                     prime twin
1878,   2 3 313,       [1 11 55 95],                radical
1879,   1879,          [],                          prime twin
1880,   2³ 5 47,       [9 33 69 93],                
1881,   3² 11 19,      [8 20 50 70 92 98],          
1882,   2 941,         [51],                        radical
1883,   7 269,         [6 96],                      radical
1884,   2² 3 157,      [5 17 23 95],                
1885,   5 13 29,       [],                          radical
1886,   2 23 41,       [15 63],                     radical
1887,   3 17 37,       [14 20 26 64 86 100],        radical
1888,   2⁵ 59,         [99],                        
1889,   1889,          [12 18 42],                  prime
1890,   2 3³ 5 7,      [11 17 23 43 59 89],         
1891,   31 61,         [60],                        radical
1892,   2² 11 43,      [15 21 81],                  
1893,   3 631,         [14 20],                     radical
1894,   2 947,         [93],                        radical
1895,   5 379,         [6 18 84],                   radical
1896,   2³ 3 79,       [17 35],                     
1897,   7 271,         [36 96],                     radical
1898,   2 13 73,       [9 51 75],                   radical
1899,   3² 211,        [32 52 88 98],               
1900,   2² 5² 19,      [33 99],                     
1901,   1901,          [12 30 78],                  prime
1902,   2 3 317,       [29 31 71 91],               radical
1903,   11 173,        [30],                        radical
1904,   2⁴ 7 17,       [3 27 93],                   
1905,   3 5 127,       [26 28 44 74 82 94],         radical
1906,   2 953,         [27 45],                     radical
1907,   1907,          [6 96],                      prime
1908,   2² 3² 53,      [41 85],                     
1909,   23 83,         [42 78],                     radical
1910,   2 5 191,       [3 21 39 63 87],             radical
1911,   3 7² 13,       [22 38 40 88 100],           
1912,   2³ 239,        [39 81],                     
1913,   1913,          [36 66 90],                  prime
1914,   2 3 11 29,     [35 37 83],                  radical
1915,   5 383,         [36 84],                     radical
1916,   2² 479,        [15],                        
1917,   3³ 71,         [16 56 70 86 94],            
1918,   2 7 137,       [],                          radical
1919,   19 101,        [12 30],                     radical
1920,   2⁷ 3 5,        [13 31 53 59 73 97],         
1921,   17 113,        [90],                        radical
1922,   2 31²,         [9 51 75],                   
1923,   3 641,         [10 50 56 76],               radical
1924,   2² 13 37,      [63 93],                     
1925,   5² 7 11,       [24 48 54 78],               
1926,   2 3² 107,      [25 47 53],                  
1927,   41 47,         [60 66],                     radical
1928,   2³ 241,        [21 51],                     
1929,   3 643,         [22 50 58 68 82 98],         radical
1930,   2 5 193,       [57 63 69 99],               radical
1931,   1931,          [18 42],                     prime twin
1932,   2² 3 7 23,     [1 19 55 61 65 71 85],       
1933,   1933,          [54 60 66],                  prime twin
1934,   2 967,         [45 63],                     radical
1935,   3² 5 43,       [58 62 64 68],               
1936,   2⁴ 11²,        [57 63 75],                  
1937,   13 149,        [36 60 66 90],               radical
1938,   2 3 17 19,     [49 59 61 65 91],            radical
1939,   7 277,         [60 72 78],                  radical
1940,   2² 5 97,       [9 33 39 63],                
1941,   3 647,         [8 10 52 62 70],             radical
1942,   2 971,         [9 69 75],                   radical
1943,   29 67,         [30 36 54 96],               radical
1944,   2³ 3⁵,         [43 55 67 73 83],            
1945,   5 389,         [66 72 84],                  radical
1946,   2 7 139,       [33 57],                     radical
1947,   3 11 59,       [40 46 70 80],               radical
1948,   2² 487,        [69 81],                     
1949,   1949,          [48 78],                     prime twin
1950,   2 3 5² 13,     [1 37 43 49 61 77 79 89],    
1951,   1951,          [78],                        prime twin
1952,   2⁵ 61,         [21 45 51 75],               
1953,   3² 7 31,       [20 40 46 64 74 76 86],      
1954,   2 977,         [75],                        radical
1955,   5 17 23,       [24 42 48 84],               radical
1956,   2² 3 163,      [23 43 55 83],               
1957,   19 103,        [96],                        radical
1958,   2 11 89,       [45 69 81],                  radical
1959,   3 653,         [28 52 58 70 80],            radical
1960,   2³ 5 7²,       [27 93],                     
